address,delegation_start_date,voting_power_at_endBlock,vote_count,reward_percentage,share_value_usd,share_arb,share_usdc
0xf6b6f07862a02c85628b3a9688beae07fea9c863,2025-08-26,617227303333333333333333,16,56.05360151,2463.65,5350.900342,1301.564627
0x076ea7620320c69cefd8d58c582e36ff54683d0e,2024-09-29,52132495116633663629842,100,29.59013328,1300.53,2824.686550,687.082895
0x63ce15c9284ad87ed8a9e56e689b6479bb652489,2025-02-13,12000000118096237903940,56,3.81423711,167.64,364.108677,88.566586
0x59f4b446183981caa70a3fad693ca91aca1a25c3,2025-01-21,0,24,3.38797337,148.91,323.417361,78.668742
0x1dd5c3be2ee00756c145dbb5348e85b2ccc6e23f,2025-05-14,0,31,3.02561182,132.98,288.826175,70.254707
0x76e8dd748c91d6b1ac2feeb3cef40db04acf0eca,2025-01-05,9546042000000000000000,70,2.14506564,94.28,204.768867,49.808424
0x05a4ed2367bd2f0aa63cc14897850be7474bc722,2024-12-13,3060437339047961833897,70,1.21596183,53.44,116.076227,28.234634
0x00ced448862356cb11ed3d5524ee7bae29a50d36,2025-03-24,800002328267489467253,46,0.26624741,11.70,25.416090,6.182265
0xe594469fde6ae29943a64f81d95c20f5f8eb2e04,2024-09-06,9066890848300413426,111,0.18611865,8.18,17.766965,4.321675
0x746bb7befd31d9052bb8eba7d5dd74c9acf54c6d,2025-06-10,953935841894288734093,33,0.16499745,7.25,15.750726,3.831241
0xa93ae3a2ce1714f422ec2d799c48a56b2035c872,2024-09-29,103352295257529137828,100,0.05866221,2.58,5.599919,1.362136
0x136b7f12cfe690c2aa3ae23f34780f45352557fa,2025-10-30,891765997980000000000,7,0.03543132,1.56,3.382289,0.822715
0xa2944098ee88b83b10f13194afcbf1d72916c58b,2025-01-27,84041208338165243357,61,0.02175057,0.96,2.076318,0.505048
0x4ab879c177e8db547564a7e2fadc20c431b83619,2025-01-27,61179500000000000000,61,0.02118235,0.93,2.022076,0.491854
0x136245d2a7a66d7a6188b7db40378645a9e69fe2,2025-01-27,0,49,0.00734726,0.32,0.701372,0.170603
0xe459ae0dc31194fa0fd626020a25d9a1cef0047d,2025-08-06,0,1,0.00567595,0.25,0.541828,0.131796
0x4e26fc6eb05a1cdbd762609fde9958e5b8cc754d,2025-10-30,75000000000000000,7,0.00000227,0.00,0.000217,0.000053
